inep,nome,tipo,municipio,dre_id,endereco
15167054,EEEFM PROF ANTONIO CARLOS GOMES DA COSTA,ESTADUAL,ANANINDEUA,12,"ROD. BR 316 KM 08, Bairro: CENTRO, CEP: 67033971"
15516830,EEEF ANANI,ESTADUAL,ANANINDEUA,12,"CONJUNTO JARDIM JADER BARBALHO QUADRA 15 RUA 2, 08, CONJUNTO JARDIM JADE, AURA, 67033865"
15571955,EEEF BENEDITO CELSO PADUA COSTA,ESTADUAL,ANANINDEUA,12,"AV. ZACARIAS DE ASSUNÇAO, Nº 200, BAIRRO: DISTRITO INDUSTRIAL, CEP: 67020-420"
15521141,EEEF CENTRO COMUNITARIO VILA ESPERANCA,ESTADUAL,ANANINDEUA,12,"BR 316 KM 08, RUA A DE VILA ESPERANÇA/ CENTRO CEP: 67040730"
15144720,EEEF CLUBE DE MAES JARDIM JADER BARBALHO,ESTADUAL,ANANINDEUA,12,"ESTRADA DO AURA, QUADRA 08, N12, BAIRRO: AURA, CEP: 67140-570"
15517039,EEEF ESPIRITO SANTO,ESTADUAL,ANANINDEUA,12,"PRIMEIRA RUA RURAL, DISTRITO INDUSTRIAL, CEP: 67030270"
15034666,EEEF MAGUARI,ESTADUAL,ANANINDEUA,12,"RUA CLAUDIO SANDERS, BAIRRO MAGUARI, CEP: 67030445"
15033830,EEEF PRINCESA ISABEL,ESTADUAL,ANANINDEUA,12,"RUA PRINCEZA ISABEL - JARDIM ABOLICAO, 01, JARDIM ABOLICAO, CENTRO, 67040810"
15034410,EEEFM ANTONIO TEIXEIRA GUEIROS,ESTADUAL,ANANINDEUA,12,"AV. ZACARIAS DE ASSUNCAO, Bairro: DISTRITO INDUSTRIAL, CEP: 67030420"
15523420,EEEFM ARMANDO FAJARDO,ESTADUAL,ANANINDEUA,12,"RUA CLAUDIO SANDERS 1787, 1787, MAGUARI, 67030325"
15578020,EEEFM IZABEL AMAZONAS,ESTADUAL,ANANINDEUA,12,"RUA RIO DE JANEIRO, Bairro: DISTRITO INDUSTRIAL, CEP: 67035170"
15034755,EEEFM JOSE MARCELINO DE OLIVEIRA,ESTADUAL,ANANINDEUA,12,"RUA JOSE MARCELINO DE OLIVEIRA, BAIRRO CENTRO, CEP: 67030170"
15574199,EEEFM RAIMUNDO VERA CRUZ,ESTADUAL,ANANINDEUA,12,"RODOVIA BR 316 KM 08, BAIRRO CENTRO, CEP: 67140-570"
15034909,EEEFM WALTER BEZERRA FALCAO,ESTADUAL,ANANINDEUA,12,"RUA MARCELINO DE OLIVEIRA, BAIRRO, CENTRO CEP: 67030132"
15581853,EEEM PROFA MARIA HELENA VALENTE TAVARES,ESTADUAL,ANANINDEUA,12,"PASS BOM SOSSEGO COM ZACARIAS ASSSUNÇAO, CEP: 67030245"
