nome,telefone
DRE - BELEM 1,91981483706
DRE - BELEM 2,91996330555
DRE - BELEM 3,91985346198
DRE - BELEM 4,91984031106
DRE - BELEM 5,91999683022
DRE - AFUA,96991249803
DRE - BELEM 6,91982991170
DRE - BELEM 7,91980734073
DRE - BELEM 8,91981326800
DRE - BELEM 9,91989035323
DRE - BELEM 10,91985308867
DRE - ANANINDEUA 01,91980330408
DRE - ANANINDEUA 02,91992249907
DRE - ANANINDEUA 03,91988396768
DRE - ANANINDEUA 04,91985073372
DRE - ANANINDEUA 05,91981149483
DRE - SANTA BARBARA,91989309554
DRE - BENEVIDES,91987072429
SEDUC SEDE - UNIDADE 00,
SEDUC SEDE - UNIDADE 01,
DRE - BRAGANCA,91989387812
DRE - CAMETA,91981206345
DRE - ABAETETUBA,91989507276
DRE - MARABA,94991317282
DRE - SANTAREM,93991543282
DRE - MONTE ALEGRE,93991282255
DRE - OBIDOS,93992326568
DRE - CASTANHAL,9199400791
DRE - MARACANA,91983207475
DRE - ALTAMIRA,93991633510
DRE - SANTA IZABEL DO PARA,91988103287
DRE - ITAITUBA,9391219506
DRE - BREVES,91991302393
DRE - CAPANEMA,91983567443
DRE - CONCEICAO DO ARAGUAIA,94992574241
DRE - TUCURUI,94984050409
DRE - CAPITAO POCO,91993915989
DRE - MAE DO RIO,9199611601
DRE - CURRALINHO,91991117318
DRE - PARAUAPEBAS,9492146712
DRE - XINGUARA,9499219387
DRE - CACHOEIRA DO ARARI,91991674010
